ticker,name,market,cap,cap_label,cur,rs_2w,rs_6w,accel,ret_2w,vr,pct52,high52_date,above200,theme,pop_rank
488900,비츠로넥스텍,KOSDAQ,563302051920.0,MidCap,11670.0,60.2,-3.38,63.58,58.78,3.3,-61.0,26.01.30,False,핵융합에너지,
001820,삼화콘덴서,KOSPI,738045000000.0,MidCap,103300.0,45.7,-36.39,82.09,44.27,1.36,-45.7,26.06.18,False,핵융합에너지,
036540,SFA반도체,KOSDAQ,1417647811860.0,LargeCap,6230.0,29.35,-6.42,35.77,27.93,0.98,-43.4,26.05.26,False,핵융합에너지,
034020,두산에너빌리티,KOSPI,82760500063200.0,MegaCap,80900.0,21.99,-6.69,28.68,20.57,0.71,-40.7,26.05.07,False,핵융합에너지,8.0
002240,고려제강,KOSPI,711450000000.0,MidCap,17350.0,4.76,12.76,-8.0,3.34,0.81,-36.2,26.04.28,False,핵융합에너지,
131290,티에스이,KOSDAQ,1867169215200.0,LargeCap,259000.0,40.22,0.88,39.34,38.8,0.84,-9.0,26.07.15,False,LED장비,
122640,예스티,KOSDAQ,614874844800.0,MidCap,29100.0,36.77,-20.1,56.87,35.35,0.43,-27.0,26.06.18,False,LED장비,
053610,프로텍,KOSDAQ,893200000000.0,MidCap,64800.0,13.73,-9.15,22.88,12.31,0.61,-32.8,26.05.21,False,LED장비,
036540,SFA반도체,KOSDAQ,1417647811860.0,LargeCap,6230.0,29.35,-6.42,35.77,27.93,0.98,-43.4,26.05.26,False,2차전지(장비),
161580,필옵틱스,KOSDAQ,1156874889450.0,LargeCap,29900.0,26.01,-14.8,40.81,24.58,0.79,-52.5,26.05.06,False,2차전지(장비),
089890,코세스,KOSDAQ,748811034300.0,MidCap,24450.0,25.54,-17.69,43.23,24.11,0.68,-51.6,26.05.04,False,2차전지(장비),
168360,펨트론,KOSDAQ,526885029000.0,MidCap,13260.0,17.13,-21.12,38.25,15.71,0.82,-58.0,26.02.26,False,2차전지(장비),
174900,앱클론,KOSDAQ,1004245704000.0,LargeCap,31000.0,58.78,-11.71,70.49,57.36,1.93,-65.2,26.03.13,False,면역항암제,
115180,큐리언트,KOSDAQ,1466085989100.0,LargeCap,24950.0,51.18,-6.05,57.23,49.76,1.99,-51.0,26.03.10,False,면역항암제,
028300,HLB,KOSDAQ,8389190943000.0,LargeCap,42750.0,41.13,-12.98,54.11,39.71,0.78,-37.3,26.04.15,False,면역항암제,24.0
397030,에이프릴바이오,KOSDAQ,1496262326600.0,LargeCap,29150.0,33.03,-20.42,53.45,31.6,0.73,-60.2,26.05.12,False,면역항암제,
052020,에스티큐브,KOSDAQ,1502430731100.0,LargeCap,9380.0,31.88,-8.03,39.91,30.46,0.69,-57.6,26.04.29,False,면역항암제,
017900,광전자,KOSPI,615942200690.0,MidCap,8710.0,69.25,-21.79,91.04,67.82,4.61,-51.0,26.04.15,False,LED,
043260,성호전자,KOSDAQ,3106419647400.0,LargeCap,21000.0,41.99,-36.7,78.69,40.56,1.27,-60.5,26.04.14,False,LED,
066570,LG전자,KOSPI,22119971354600.0,MegaCap,206500.0,28.81,-3.11,31.92,27.39,0.81,-47.4,26.06.02,False,LED,6.0
121600,나노신소재,KOSDAQ,1083226284400.0,LargeCap,50800.0,28.58,-4.7,33.28,27.16,0.97,-42.8,26.04.24,False,LED,
281740,레이크머티리얼즈,KOSDAQ,1616971480800.0,LargeCap,13250.0,23.66,-7.67,31.33,22.23,1.02,-51.9,26.02.04,False,LED,
007810,코리아써키트,KOSPI,2287941948000.0,LargeCap,66400.0,44.37,-39.9,84.27,42.95,1.16,-53.2,26.06.17,False,갤럭시 부품주,
204270,제이앤티씨,KOSDAQ,1147135080780.0,LargeCap,18370.0,40.07,7.94,32.13,38.64,0.7,-33.7,25.11.06,False,갤럭시 부품주,
033240,자화전자,KOSPI,1072713174300.0,LargeCap,30250.0,37.99,-7.24,45.23,36.57,1.15,-45.7,26.05.15,False,갤럭시 부품주,
025320,시노펙스,KOSDAQ,562142468300.0,MidCap,4650.0,35.62,4.07,31.55,34.2,1.31,-41.8,26.02.04,False,갤럭시 부품주,
009150,삼성전기,KOSPI,61771686592000.0,MegaCap,1503000.0,33.04,-22.15,55.19,31.61,0.84,-33.8,26.06.19,False,갤럭시 부품주,3.0
027360,아주IB투자,KOSDAQ,2008590831480.0,LargeCap,4585.0,55.03,-27.99,83.02,53.6,1.92,-75.5,26.04.24,False,야놀자(Yanolja),
088350,한화생명,KOSPI,4412132400000.0,LargeCap,5030.0,15.23,7.2,8.03,13.8,1.12,-23.8,26.02.20,False,야놀자(Yanolja),
003530,한화투자증권,KOSPI,1679909078250.0,LargeCap,4630.0,12.99,-1.5,14.49,11.57,0.66,-51.6,26.02.19,False,야놀자(Yanolja),
007810,코리아써키트,KOSPI,2287941948000.0,LargeCap,66400.0,44.37,-39.9,84.27,42.95,1.16,-53.2,26.06.17,False,CXL(컴퓨트익스프레스링크),
253590,네오셈,KOSDAQ,839217107320.0,MidCap,11030.0,35.12,-11.36,46.48,33.7,1.08,-46.6,26.05.06,False,CXL(컴퓨트익스프레스링크),
356860,티엘비,KOSDAQ,834790287000.0,MidCap,31200.0,19.61,-44.75,64.36,18.18,1.3,-76.3,26.05.26,False,CXL(컴퓨트익스프레스링크),
394280,오픈엣지테크놀로지,KOSDAQ,530882579500.0,MidCap,10200.0,13.51,-9.97,23.48,12.09,0.87,-53.2,26.05.04,False,CXL(컴퓨트익스프레스링크),
005930,삼성전자,KOSPI,1321258965408000.0,MegaCap,268000.0,3.52,-1.64,5.16,2.1,0.88,-26.1,26.06.18,False,CXL(컴퓨트익스프레스링크),1.0
204320,HL만도,KOSPI,2718817248000.0,LargeCap,55500.0,25.59,-9.08,34.67,24.16,0.7,-27.8,26.06.16,False,스마트카(SMART CAR),
000990,DB하이텍,KOSPI,6638800128800.0,LargeCap,99700.0,21.4,-20.27,41.67,19.98,0.72,-54.8,26.05.26,False,스마트카(SMART CAR),
011070,LG이노텍,KOSPI,14010927344000.0,MegaCap,615000.0,21.07,-33.99,55.06,19.65,0.89,-59.8,26.06.01,False,스마트카(SMART CAR),16.0
012330,현대모비스,KOSPI,39831603937000.0,MegaCap,511000.0,8.78,4.88,3.9,7.35,0.61,-33.5,26.05.29,False,스마트카(SMART CAR),
090460,비에이치,KOSPI,1190017291400.0,LargeCap,19250.0,29.16,-17.51,46.67,27.74,3.91,-52.1,26.05.26,False,무선충전기술,
066570,LG전자,KOSPI,22119971354600.0,MegaCap,206500.0,28.81,-3.11,31.92,27.39,0.81,-47.4,26.06.02,False,무선충전기술,6.0
006260,LS,KOSPI,13057200000000.0,MegaCap,326000.0,23.52,-10.1,33.62,22.1,0.96,-41.0,26.05.26,False,무선충전기술,
