theme,n_large,rs_2w_avg,up_ratio,up_count,total
전선,7,50.83,100.0,7,7
철도,7,26.45,85.7,6,7
전력설비,18,24.76,83.3,15,18
카메라모듈/부품,4,20.99,100.0,4,4
고체산화물 연료전지(SOFC),8,19.42,87.5,7,8
스마트카(SMART CAR),4,19.07,75.0,3,4
전자파,3,14.48,100.0,3,3
무선충전기술,6,13.63,100.0,6,6
2차전지(생산),3,13.32,100.0,3,3
스마트그리드(지능형전력망),7,11.98,100.0,7,7
리비안(RIVIAN),5,11.48,100.0,5,5
2차전지(나트륨이온),4,11.46,100.0,4,4
