ticker,name,market,sector,cur,rs,trend_ok,pattern_ok,signal,score,lgbm_score,reason,pivot,cup_depth,handle_depth,vol_ratio,cup_days,handle_days,pct_from_pivot,safety,watching
103590,일진전기,KOSPI,nan,84400.0,-91.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
353200,대덕전자,KOSPI,nan,156300.0,217.5,True,False,False,64,,패턴 미감지,,,,,,,,,
214370,케어젠,KOSDAQ,nan,71200.0,-148.2,False,False,False,0,,트렌드 미통과,,,,,,,,,
022100,포스코DX,KOSPI,nan,27400.0,-157.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
310210,보로노이,KOSDAQ,nan,194900.0,-152.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
088980,맥쿼리인프라,KOSPI,nan,10700.0,-169.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
095340,ISC,KOSDAQ GLOBAL,nan,186000.0,-71.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
002380,KCC,KOSPI,nan,524000.0,-139.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
175330,JB금융지주,KOSPI,nan,26100.0,-156.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
011170,롯데케미칼,KOSPI,nan,76700.0,-155.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
108490,로보티즈,KOSDAQ,nan,287000.0,-43.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
011790,SKC,KOSPI,nan,119600.0,-142.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
018880,한온시스템,KOSPI,nan,4515.0,-137.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
088350,한화생명,KOSPI,nan,5220.0,-117.2,True,False,False,32,,패턴 미감지,,,,,,,,,
403870,HPSP,KOSDAQ GLOBAL,nan,56600.0,-90.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
251270,넷마블,KOSPI,nan,40850.0,-186.6,False,False,False,0,,트렌드 미통과,,,,,,,,,
489790,한화비전,KOSPI,nan,67400.0,-146.0,False,False,False,0,,트렌드 미통과,,,,,,,,,
440110,파두,KOSDAQ,nan,101400.0,203.9,True,False,False,64,,패턴 미감지,,,,,,,,,
375500,DL이앤씨,KOSPI,nan,73900.0,-106.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
051900,LG생활건강,KOSPI,nan,235500.0,-174.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
017800,현대엘리베이터,KOSPI,nan,76600.0,-171.1,False,False,False,0,,트렌드 미통과,,,,,,,,,
263750,펄어비스,KOSDAQ GLOBAL,nan,39450.0,-161.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
004170,신세계,KOSPI,nan,711000.0,43.2,True,False,False,64,,패턴 미감지,,,,,,,,,
336260,두산퓨얼셀,KOSPI,nan,65000.0,-42.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
032820,우리기술,KOSDAQ,nan,14500.0,28.5,False,False,False,0,,트렌드 미통과,,,,,,,,,
457190,이수스페셜티케미컬,KOSPI,nan,79600.0,-126.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
023530,롯데쇼핑,KOSPI,nan,179900.0,-43.7,True,False,False,32,,패턴 미감지,,,,,,,,,
011780,금호석유화학,KOSPI,nan,125000.0,-160.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
004800,효성,KOSPI,nan,188800.0,-79.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
214150,클래시스,KOSDAQ GLOBAL,nan,46700.0,-177.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
226950,올릭스,KOSDAQ,nan,132000.0,-129.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
111770,영원무역,KOSPI,nan,78000.0,-153.9,False,False,False,0,,트렌드 미통과,,,,,,,,,
357780,솔브레인,KOSDAQ GLOBAL,nan,366000.0,-120.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
071970,HD현대마린엔진,KOSPI,nan,67400.0,-165.2,False,False,False,0,,트렌드 미통과,,,,,,,,,
035250,강원랜드,KOSPI,nan,15270.0,-175.3,False,False,False,0,,트렌드 미통과,,,,,,,,,
097950,CJ제일제당,KOSPI,nan,193300.0,-171.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
012510,더존비즈온,KOSPI,nan,120000.0,-128.8,True,False,False,32,,패턴 미감지,,,,,,,,,
036460,한국가스공사,KOSPI,nan,34400.0,-171.4,False,False,False,0,,트렌드 미통과,,,,,,,,,
000500,가온전선,KOSPI,nan,337500.0,157.2,False,False,False,0,,트렌드 미통과,,,,,,,,,
020150,롯데에너지머티리얼즈,KOSPI,nan,49200.0,-96.8,False,False,False,0,,트렌드 미통과,,,,,,,,,
006360,GS건설,KOSPI,nan,26550.0,-143.7,False,False,False,0,,트렌드 미통과,,,,,,,,,
