date,ticker,name,label,r5,r10,lgbm_score,fold,score_bin
2016-08-24,092200,DAE-IL Corporation,1,14.43,16.92,0.122,1,~0.2
2016-08-25,021650,Cubic Korea Inc,0,-14.22,-18.05,0.2533,1,0.2~0.3
2016-08-25,092200,DAE-IL Corporation,1,14.98,9.66,0.1491,1,~0.2
2016-08-31,084680,E-World Co. Ltd.,0,-16.75,-22.06,0.1183,1,~0.2
2016-09-01,084680,E-World Co. Ltd.,0,-24.13,-25.4,0.1588,1,~0.2
2016-09-01,005820,Wonlim Corp.,0,8.39,6.43,0.3214,1,0.3~0.4
2016-09-02,017800,Hyundai Elevator Co. Ltd.,0,-6.11,-9.37,0.0436,1,~0.2
2016-09-02,000150,Doosan,0,-3.83,-8.94,0.0458,1,~0.2
2016-09-05,119500,Formetal Co. Ltd,1,3.07,17.32,0.1346,1,~0.2
2016-09-05,000150,Doosan,0,-7.11,-11.3,0.0355,1,~0.2
2016-09-05,017800,Hyundai Elevator Co. Ltd.,0,-6.34,-10.7,0.0927,1,~0.2
2016-09-05,37350,Sungdo Engineering & Construction Co. Ltd,0,-3.97,-9.26,0.0952,1,~0.2
2016-09-06,33240,Jahwa Electronics Co. Ltd.,1,10.19,10.8,0.1746,1,~0.2
2016-09-06,58730,Dong-A Steel Technology Co. Ltd.,0,-0.88,4.04,0.1144,1,~0.2
2016-09-06,68270,Celltrion Inc,0,-3.13,-1.25,0.089,1,~0.2
2016-09-07,68270,Celltrion Inc,0,-3.25,-0.9,0.0894,1,~0.2
2016-09-07,58730,Dong-A Steel Technology Co. Ltd.,0,1.6,6.39,0.0515,1,~0.2
2016-09-07,084010,Daehan Steel,0,-5.94,-7.76,0.0489,1,~0.2
2016-09-07,119500,Formetal Co. Ltd,0,1.6,7.13,0.1941,1,~0.2
2016-09-08,023410,Eugene Corporation,0,-4.46,-1.6,0.0805,1,~0.2
2016-09-08,084010,Daehan Steel,0,-5.96,-5.5,0.0532,1,~0.2
2016-09-08,189690,FORCS Co.Ltd,0,2.62,-2.73,0.2057,1,0.2~0.3
2016-09-09,023410,Eugene Corporation,0,-2.14,-3.57,0.127,1,~0.2
2016-09-13,58730,Dong-A Steel Technology Co. Ltd.,0,4.96,6.02,0.0451,1,~0.2
2016-09-13,69730,DSR Wire Corp.,1,8.35,8.24,0.0906,1,~0.2
2016-09-13,34020,Doosan Heavy Ind. & Const.,0,-7.92,-11.02,0.0586,1,~0.2
2016-09-19,189690,FORCS Co.Ltd,0,-4.0,-2.24,0.1502,1,~0.2
2016-09-19,011370,SEOHAN Const. & Eng.co.Ltd,0,2.13,7.8,0.0518,1,~0.2
2016-09-19,58730,Dong-A Steel Technology Co. Ltd.,0,4.72,4.02,0.0425,1,~0.2
2016-09-20,189690,FORCS Co.Ltd,0,-5.21,-4.52,0.17,1,~0.2
2016-09-20,58730,Dong-A Steel Technology Co. Ltd.,0,4.88,3.14,0.0582,1,~0.2
2016-09-20,52600,Hannet Co. Ltd,0,1.94,3.31,0.1335,1,~0.2
2016-09-21,189690,FORCS Co.Ltd,0,-2.73,-2.73,0.0984,1,~0.2
