theme,n_large,rs_2w_avg,rs_6w_avg,accel_avg,up_ratio,up_count,total
삼성페이,6,-12.02,-13.39,1.36,33.3,2,6
코로나19(진단/치료제/백신 개발 등),18,-22.39,-23.58,1.2,5.6,1,18
카카오뱅크(kakao BANK),4,-19.35,-20.3,0.95,0.0,0,4
면역항암제,11,-29.14,-29.82,0.68,0.0,0,11
환율하락 수혜,18,-16.38,-16.81,0.44,22.2,4,18
백화점,4,-2.05,-2.42,0.37,100.0,4,4
자율주행차,19,-3.92,-4.11,0.19,57.9,11,19
블록체인,9,-14.31,-14.24,-0.07,44.4,4,9
통신,3,-13.64,-13.33,-0.31,33.3,1,3
3D 프린터,3,-15.24,-14.59,-0.65,66.7,2,3
밸류업(25년 기업가치 제고계획 발표),54,-16.73,-16.06,-0.67,22.2,12,54
리츠(REITs),6,-20.16,-19.47,-0.69,0.0,0,6
소매유통,9,-6.35,-5.06,-1.29,66.7,6,9
LED장비,3,2.6,3.92,-1.32,66.7,2,3
치매,14,-26.26,-24.55,-1.72,0.0,0,14
보톡스(보툴리눔톡신),3,-29.74,-27.43,-2.31,0.0,0,3
원자력발전소 해체,7,-28.41,-25.96,-2.45,0.0,0,7
의료기기,12,-19.58,-16.73,-2.84,25.0,3,12
코리아 밸류업 지수(Korea Value-up Index),84,-16.82,-13.78,-3.05,20.2,17,84
황사/미세먼지,5,-16.92,-13.78,-3.14,20.0,1,5
패션/의류,10,-12.14,-8.83,-3.31,60.0,6,10
로봇(산업용/협동로봇 등),20,-15.37,-11.93,-3.44,40.0,8,20
모더나(MODERNA),3,-18.65,-15.17,-3.47,0.0,0,3
미용기기,7,-20.46,-16.45,-4.01,28.6,2,7
고령화 사회(노인복지),12,-23.25,-18.76,-4.49,25.0,3,12
항공기부품,7,-19.05,-14.31,-4.73,28.6,2,7
밸류업(24년 기업가치 제고계획 발표),75,-14.46,-9.5,-4.97,30.7,23,75
호텔/리조트,11,-19.36,-14.28,-5.08,9.1,1,11
귀금속(금/은),3,-22.83,-17.24,-5.59,0.0,0,3
가상현실(VR),4,3.46,10.12,-6.65,50.0,2,4
게임,11,-20.88,-14.21,-6.67,0.0,0,11
모바일게임(스마트폰),11,-20.88,-14.21,-6.67,0.0,0,11
셰일가스(Shale Gas),9,-26.58,-19.55,-7.04,0.0,0,9
모바일콘텐츠(스마트폰/태블릿PC),5,-18.04,-10.9,-7.15,20.0,1,5
화장품,19,-20.17,-13.01,-7.16,21.1,4,19
제대혈,3,-30.03,-22.87,-7.16,0.0,0,3
UAM(도심항공모빌리티),15,-17.99,-10.81,-7.18,20.0,3,15
지주사,61,-18.47,-10.91,-7.56,19.7,12,61
가상화폐(비트코인 등),6,-25.33,-16.51,-8.82,0.0,0,6
자원개발,6,-17.14,-8.27,-8.88,16.7,1,6
