date,ticker,name,market,sector,cap,entry,pivot,cup_depth,handle_depth,cup_days,handle_days,cup_start,cup_end,vol_ratio,vs,rs,score,r1,r3,r5,r10,r15,r20,r30,r40,r50,r60
2009-12-03,023160,Tae Kwang Corporation,KOSDAQ,기타,SmallCap,38449.9953,38600.0,22.8,8.0,161,7,2009-04-09,2009-11-25,1.07,False,0.0,47,0.91,-1.43,-2.99,-0.52,-5.2,-5.59,-1.95,-18.34,-15.99,-16.51
2026-02-05,023160,Tae Kwang Corporation,KOSDAQ,기타,SmallCap,27800.0,28500.0,16.2,8.1,114,5,2025-08-12,2026-01-30,1.17,False,-22.4,43,-3.6,3.24,4.14,7.37,-15.47,1.8,28.24,,,
2020-12-07,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,31400.0,31900.0,18.8,7.7,88,13,2020-07-13,2020-11-19,1.38,False,22.7,67,4.62,2.87,3.82,8.12,9.71,13.54,12.58,-1.75,3.82,-8.6
2020-12-24,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,33650.0,34450.0,18.8,5.2,108,6,2020-07-13,2020-12-17,0.86,False,26.5,75,2.23,8.47,8.77,8.47,0.89,2.08,-7.88,-6.09,-7.28,1.63
2020-12-28,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,34400.0,34450.0,18.8,5.2,108,7,2020-07-13,2020-12-17,0.86,False,28.0,75,0.15,7.56,3.2,5.38,3.2,-3.63,-10.47,-10.76,-10.32,-3.05
2020-12-29,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,34450.0,34450.0,18.8,5.2,108,8,2020-07-13,2020-12-17,0.86,False,24.0,67,5.95,6.24,3.48,3.63,2.61,-9.29,-5.22,-10.01,-3.63,-3.63
2022-04-19,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,39150.0,40350.0,19.6,9.5,84,18,2021-11-19,2022-03-25,0.8,False,23.2,67,-0.38,3.07,-3.07,1.4,8.3,4.85,7.28,-6.51,-18.39,-15.07
2022-04-21,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,40100.0,40350.0,19.6,9.5,84,20,2021-11-19,2022-03-25,0.89,False,26.3,75,0.62,-5.36,-8.73,3.12,4.74,6.73,-1.62,-11.97,-19.33,-14.34
2023-06-15,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,38600.0,39050.0,15.9,6.1,131,12,2022-11-17,2023-05-30,0.95,False,1.3,43,-2.85,-0.13,-6.35,1.04,2.07,4.27,2.33,-6.22,-12.95,-11.4
2023-06-19,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,38400.0,39050.0,15.9,6.1,131,14,2022-11-17,2023-05-30,0.92,False,-4.4,43,0.39,-5.86,1.95,8.2,-4.04,4.56,10.29,-6.51,-11.59,-11.2
2023-06-20,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,38550.0,39050.0,15.9,6.1,131,15,2022-11-17,2023-05-30,0.93,False,-2.7,43,-4.28,-6.23,0.52,8.3,-1.69,3.63,5.97,-8.04,-11.54,-12.84
2024-01-11,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,42050.0,42100.0,23.3,5.8,147,6,2023-05-30,2024-01-04,1.12,False,11.8,63,-0.59,-3.33,-3.21,0.36,-8.92,-9.04,-14.03,-3.69,4.04,10.58
2024-01-12,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,41800.0,42100.0,23.3,5.8,147,7,2023-05-30,2024-01-04,1.68,True,13.1,63,-1.91,-4.55,0.48,-0.24,-4.9,-4.31,-15.79,-4.9,6.58,14.71
2024-01-15,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,41000.0,42100.0,23.3,5.8,147,8,2023-05-30,2024-01-04,1.79,True,12.7,68,-0.85,-0.73,2.93,-0.98,-6.46,-1.71,-10.24,-5.61,13.66,14.51
2024-01-19,005290,Dongjin Semichem Co. Ltd,KOSDAQ,기타,SmallCap,42000.0,42100.0,23.3,5.8,147,12,2023-05-30,2024-01-04,0.89,False,17.7,71,0.48,1.19,-0.71,-5.36,-4.76,-8.69,-1.19,-2.02,12.26,10.83
2011-03-21,039980,Leenos Corp,KOSDAQ,기타,SmallCap,2460.0,2460.0,26.7,8.3,191,9,2010-06-03,2011-03-09,1.13,False,0.0,47,0.41,-6.3,-8.54,-7.52,-15.45,-15.85,-10.77,-8.94,17.89,1.02
2016-06-15,039980,Leenos Corp,KOSDAQ,기타,SmallCap,3710.0001,3760.0,16.4,6.5,153,16,2015-10-07,2016-05-24,0.55,False,7.2,51,1.62,3.37,2.96,13.21,14.02,26.95,25.34,40.97,31.67,9.16
2014-04-28,053030,BINEX Co. Ltd,KOSDAQ,기타,SmallCap,6810.0,7010.0,22.2,5.7,114,8,2013-11-01,2014-04-17,1.03,False,0.0,47,-2.35,-0.29,-5.43,1.47,-0.29,0.44,8.81,13.8,11.6,8.22
2014-05-14,053030,BINEX Co. Ltd,KOSDAQ,기타,SmallCap,6850.0,7010.0,22.2,9.3,114,17,2013-11-01,2014-04-17,0.92,False,0.0,47,0.88,-2.77,-2.34,0.44,0.73,7.45,1.02,8.18,12.12,4.23
2014-05-15,053030,BINEX Co. Ltd,KOSDAQ,기타,SmallCap,6910.0,7010.0,22.2,9.3,114,18,2013-11-01,2014-04-17,1.01,False,0.0,47,-0.72,-5.07,-1.74,-1.01,-1.01,7.24,12.16,9.99,6.66,8.54
2014-05-16,053030,BINEX Co. Ltd,KOSDAQ,기타,SmallCap,6860.0,7010.0,22.2,9.3,114,19,2013-11-01,2014-04-17,1.04,False,0.0,47,-2.92,-2.48,-1.02,-1.6,0.15,9.33,11.66,7.29,8.31,5.98
2021-07-07,006890,Tae Kyung Chemical Co. Ltd.,KOSDAQ,기타,SmallCap,19100.0,19500.0,36.7,11.8,125,15,2020-12-14,2021-06-17,0.93,False,80.5,73,-2.09,-0.79,4.71,3.93,5.24,2.88,-21.73,-13.87,-13.61,-33.25
2021-07-09,006890,Tae Kyung Chemical Co. Ltd.,KOSDAQ,기타,SmallCap,19400.0,19500.0,36.7,11.8,125,17,2020-12-14,2021-06-17,1.32,False,84.8,73,-2.32,3.09,2.84,-2.06,0.77,-2.06,-23.45,-16.49,-14.18,-29.12
2021-07-12,006890,Tae Kyung Chemical Co. Ltd.,KOSDAQ,기타,SmallCap,18950.0,19500.0,36.7,11.8,125,18,2020-12-14,2021-06-17,1.33,False,81.8,73,-2.64,3.43,11.61,5.8,5.28,-5.28,-19.0,-14.25,-15.3,-30.34
