ticker,name,theme,theme_no
472220,신영스팩10호,기업인수목적회사(SPAC),284
477760,DB금융스팩12호,기업인수목적회사(SPAC),284
475240,하나32호스팩,기업인수목적회사(SPAC),284
085310,비엔케이제3호스팩,기업인수목적회사(SPAC),284
477340,에이치엠씨제7호스팩,기업인수목적회사(SPAC),284
477380,미래에셋비전스팩4호,기업인수목적회사(SPAC),284
479880,한국제15호스팩,기업인수목적회사(SPAC),284
482690,대신밸런스제19호스팩,기업인수목적회사(SPAC),284
487720,키움제10호스팩,기업인수목적회사(SPAC),284
489480,키움제11호스팩,기업인수목적회사(SPAC),284
489730,디비금융제13호스팩,기업인수목적회사(SPAC),284
469900,하나31호스팩,기업인수목적회사(SPAC),284
452980,신한제11호스팩,기업인수목적회사(SPAC),284
469880,하나30호스팩,기업인수목적회사(SPAC),284
462020,에이치엠씨제6호스팩,기업인수목적회사(SPAC),284
466910,엔에이치스팩30호,기업인수목적회사(SPAC),284
465320,교보15호스팩,기업인수목적회사(SPAC),284
493790,유안타제17호스팩,기업인수목적회사(SPAC),284
467930,IBKS제23호스팩,기업인수목적회사(SPAC),284
464440,한국제13호스팩,기업인수목적회사(SPAC),284
474490,유안타제16호스팩,기업인수목적회사(SPAC),284
473050,유안타제15호스팩,기업인수목적회사(SPAC),284
486630,KB제30호스팩,기업인수목적회사(SPAC),284
489210,교보17호스팩,기업인수목적회사(SPAC),284
478110,이베스트스팩6호,기업인수목적회사(SPAC),284
496070,신한제16호스팩,기업인수목적회사(SPAC),284
487360,신한제14호스팩,기업인수목적회사(SPAC),284
451700,엔에이치스팩29호,기업인수목적회사(SPAC),284
472230,에스케이증권제11호스팩,기업인수목적회사(SPAC),284
482680,미래에셋비전스팩7호,기업인수목적회사(SPAC),284
487830,신한제15호스팩,기업인수목적회사(SPAC),284
478440,미래에셋비전스팩6호,기업인수목적회사(SPAC),284
492220,KB제31호스팩,기업인수목적회사(SPAC),284
466690,키움히어로제1호스팩,기업인수목적회사(SPAC),284
027710,팜스토리,구제역/광우병 수혜,16
005860,한일사료,구제역/광우병 수혜,16
088910,동우팜투테이블,구제역/광우병 수혜,16
006040,동원산업,구제역/광우병 수혜,16
006090,사조오양,구제역/광우병 수혜,16
011150,CJ씨푸드,구제역/광우병 수혜,16
036480,대성미생물,구제역/광우병 수혜,16
018620,우진비앤지,구제역/광우병 수혜,16
208140,정다운,구제역/광우병 수혜,16
027740,마니커,구제역/광우병 수혜,16
136480,하림,구제역/광우병 수혜,16
004970,신라교역,구제역/광우병 수혜,16
007160,사조산업,구제역/광우병 수혜,16
003680,한성기업,구제역/광우병 수혜,16
006980,우성,구제역/광우병 수혜,16
035810,이지홀딩스,구제역/광우병 수혜,16
003960,사조대림,구제역/광우병 수혜,16
030720,동원수산,구제역/광우병 수혜,16
014580,태경비케이,구제역/광우병 수혜,16
025870,신라에스지,구제역/광우병 수혜,16
432720,퀄리타스반도체,온디바이스 AI,545
330860,네패스아크,온디바이스 AI,545
058470,리노공업,온디바이스 AI,545
