ticker,name,sector,market,cap,cur,rs_4w,rs_12w,vr,pct52,above200
190650,코리아에셋투자증권,기타,KOSDAQ,nan,8710.0,-16.72,-22.66,1.06,-23.1,True
191600,블루탑,기타,KOSPI,nan,8100.0,-24.04,-9.99,0.97,-22.5,True
192080,더블유게임즈,Communication Services,KOSPI,LargeCap,61100.0,-0.05,-17.62,2.15,-1.6,True
192400,쿠쿠홀딩스,Consumer Cyclical,KOSPI,MidCap,29450.0,-17.48,-27.74,1.01,-15.3,False
192650,드림텍,Technology,KOSPI,MidCap,6710.0,-20.44,-49.13,0.95,-22.6,False
192820,코스맥스,Consumer Defensive,KOSPI,LargeCap,210500.0,-12.79,-26.28,0.88,-25.4,True
194370,제이에스코퍼레이션,Consumer Cyclical,KOSDAQ,MidCap,14790.0,9.25,-16.09,1.38,-3.8,True
194700,노바렉스,기타,KOSDAQ,nan,14900.0,-14.19,-30.07,1.25,-32.3,False
195500,마니커에프앤지,기타,KOSDAQ,nan,2875.0,-15.09,-32.88,1.27,-25.9,True
195870,해성디에스,Technology,KOSDAQ,LargeCap,80200.0,28.48,-8.9,1.47,-1.8,True
195940,HK이노엔,기타,KOSDAQ,nan,52400.0,-13.91,-40.92,1.37,-9.0,True
196300,HLB펩,기타,KOSPI,nan,7250.0,-20.42,-42.03,1.31,-30.4,False
197140,디지캡,기타,KOSDAQ,nan,2035.0,-16.83,-45.75,0.33,-23.4,False
198080,캐프,기타,KOSDAQ,nan,3060.0,-8.3,-10.97,0.72,-3.5,True
198440,강동씨앤엘,기타,KOSDAQ,nan,1195.0,-17.29,-20.84,0.67,-14.4,True
199150,데이터스트림즈,기타,KOSPI,nan,2350.0,-42.19,-36.71,2.28,-36.5,False
199730,바이오인프라,기타,KOSPI,nan,4180.0,-17.76,-45.35,0.59,-35.8,False
199800,툴젠,기타,KOSDAQ,nan,83500.0,21.99,2.92,0.89,-16.4,True
199820,제일일렉트릭,기타,KOSDAQ,nan,17260.0,46.56,40.52,3.16,0.0,True
200350,아티스트스튜디오,기타,KOSDAQ,nan,5520.0,-1.6,-29.19,0.57,-72.9,False
200580,메디쎄이,기타,KOSPI,nan,12390.0,-25.98,-22.5,1.02,-3.9,True
200880,서연이화,Consumer Cyclical,KOSDAQ,MidCap,14110.0,-16.61,-42.85,1.13,-15.5,True
203400,에이비온,기타,KOSDAQ,nan,2740.0,-3.81,-61.63,1.34,-75.0,False
203450,유니온바이오메트릭스,기타,KOSDAQ,nan,3240.0,-19.14,-39.68,0.57,-11.2,True
204020,그리티,기타,KOSDAQ,nan,2355.0,-6.24,-21.7,1.91,-47.6,False
204270,제이앤티씨,기타,KOSDAQ,nan,19340.0,3.41,-52.22,1.3,-34.3,False
204320,HL만도,Consumer Cyclical,KOSPI,LargeCap,57100.0,-5.89,-44.42,1.7,-20.0,True
204610,티쓰리,기타,KOSPI,nan,3515.0,14.12,40.01,1.33,-3.8,True
206950,볼빅,기타,KOSPI,nan,1749.0,-31.79,-33.27,1.17,-36.1,False
207490,에이펙스인텍,기타,KOSPI,nan,6800.0,-32.09,-27.68,0.06,-2.9,True
207940,삼성바이오로직스,Healthcare,KOSPI,MegaCap,1000000.0,-23.99,-37.42,1.22,0.0,True
208850,이비테크,기타,KOSPI,nan,5100.0,-28.24,-28.71,1.39,-14.7,False
208890,미래엔에듀파트너,기타,KOSPI,nan,1000.0,-38.24,-39.8,0.0,-23.1,False
210540,디와이파워,Industrials,KOSDAQ,SmallCap,15450.0,-12.84,-18.3,0.89,-2.6,True
210980,SK디앤디,Real Estate,KOSPI,MidCap,12820.0,-24.84,-35.67,1.22,-5.6,True
211050,인카금융서비스,기타,KOSDAQ,nan,10820.0,-29.66,-63.46,0.84,-36.3,False
212710,아이에스티이,기타,KOSPI,nan,9130.0,2.64,-45.38,1.19,-15.9,False
213500,한솔제지,Basic Materials,KOSPI,MidCap,8530.0,-25.03,-33.65,0.97,-8.3,True
214260,라파스,기타,KOSDAQ,nan,9500.0,-24.93,-57.92,1.13,-55.1,False
214320,이노션,Communication Services,KOSPI,MidCap,19800.0,-12.88,-30.62,0.89,-9.4,True
214390,경보제약,Healthcare,KOSPI,SmallCap,6680.0,-34.08,-23.23,0.25,-21.9,True
214420,토니모리,Consumer Defensive,KOSDAQ,SmallCap,7610.0,-7.09,-49.24,2.33,-40.1,False
214610,롤링스톤,기타,KOSPI,nan,2290.0,-29.23,-64.24,,-73.0,False
215570,크로넥스,기타,KOSPI,nan,1085.0,-34.88,-52.26,0.53,-50.9,True
216050,인크로스,기타,KOSDAQ,nan,6810.0,-18.9,-36.38,0.7,-26.8,False
216080,제테마,기타,KOSDAQ,nan,7030.0,-31.97,-62.15,0.69,-35.4,False
216400,인바이츠바이오코아,기타,KOSPI,nan,3585.0,-37.31,-46.95,1.33,-36.9,True
217320,썬테크,기타,KOSPI,nan,9330.0,-64.71,346.53,0.1,-51.2,True
217880,틸론,기타,KOSPI,nan,1684.0,-39.56,-31.18,0.99,-41.2,False
217950,파마리서치바이오,기타,KOSPI,nan,35650.0,-14.78,-33.97,0.38,-22.8,True
219420,링크제니시스,기타,KOSPI,nan,5080.0,-13.31,-46.22,1.3,-16.0,False
220100,퓨쳐켐,기타,KOSDAQ,nan,18340.0,-25.07,-61.0,0.98,-46.4,False
220180,핸디소프트,기타,KOSPI,nan,1955.0,-23.32,-36.7,1.16,-47.2,False
222670,플럼라인생명과학,기타,KOSPI,nan,4635.0,-29.23,-31.46,,-44.7,False
223250,드림씨아이에스,기타,KOSDAQ,nan,4950.0,-19.45,-51.33,1.44,-35.6,True
224810,엄지하우스,기타,KOSPI,nan,1568.0,-47.56,-48.23,2.67,-47.6,False
225190,LK삼양,기타,KOSPI,nan,2150.0,-8.77,13.03,0.73,-29.9,True
225220,제놀루션,기타,KOSDAQ,nan,1888.0,-19.57,-36.51,0.69,-28.6,False
226320,잇츠한불,Consumer Defensive,KOSPI,MidCap,12370.0,0.08,-28.15,3.33,-15.4,True
226330,신테카바이오,기타,KOSDAQ,nan,3170.0,-24.62,-47.87,0.9,-61.6,False
226400,오스테오닉,기타,KOSDAQ,nan,6630.0,-23.84,-28.01,1.37,-18.6,False
