ticker,name,market,exchange,sector,industry,market_cap,cap
002355,Nexen Tire Corp. Pfd. Series 1,KOSDAQ,KQ,Consumer Cyclical,Auto Parts,732992634880.0,MidCap
002380,KCC Corp.,KOSDAQ,KQ,Basic Materials,Chemicals,3544710381568.0,LargeCap
002390,Handok Inc.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,134456393728.0,SmallCap
002450,Samick Musical Instruments Co. Ltd.,KOSDAQ,KQ,Technology,Electronic Components,90096631808.0,SmallCap
002460,Hwasung Industrial Co. Ltd.,KOSDAQ,KQ,Industrials,Engineering & Construction,108276498432.0,SmallCap
002600,Choheung,KOSPI,KO,Consumer Defensive,Packaged Foods,86759997440.0,SmallCap
002620,Jeil Pharmaceutical Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,129409982464.0,SmallCap
002630,ORIENTBIO Inc.,KOSDAQ,KQ,Healthcare,Biotechnology,68540977152.0,SmallCap
002700,Shinil Industrial Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,"Furnishings, Fixtures & Appliances",95535939584.0,SmallCap
002710,TCC Steel Corp.,KOSDAQ,KQ,Basic Materials,Steel,345496518656.0,MidCap
002720,Kukje Pharma Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,97434574848.0,SmallCap
002760,Bo Lak,KOSPI,KO,Basic Materials,Specialty Chemicals,68765196288.0,SmallCap
002780,Chin Hung Int',KOSPI,KO,Industrials,Engineering & Construction,137331933184.0,SmallCap
002785,Chinhung International Inc,KOSPI,KO,Industrials,Engineering & Construction,487330512896.0,MidCap
002787,Chinhung International Inc. Pfd. Series 2,KOSPI,KO,Industrials,Engineering & Construction,1169593204736.0,LargeCap
002790,Amore Group,KOSPI,KO,Consumer Defensive,Household & Personal Products,2481482891264.0,LargeCap
002795,Amorepacific Group,KOSPI,KO,Consumer Defensive,Household & Personal Products,2406917079040.0,LargeCap
00279K,AMOREPACIFIC Group,KOSPI,KO,Consumer Defensive,Household & Personal Products,0.0,
002810,Samyung Trading Co. Ltd.,KOSDAQ,KQ,Industrials,Industrial Distribution,332989562880.0,MidCap
002840,Miwon Commercial Co. Ltd.,KOSDAQ,KQ,Basic Materials,Chemicals,617048047616.0,MidCap
002900,Tong Yang Moolsan Co. Ltd.,KOSDAQ,KQ,Industrials,Farm & Heavy Construction Machinery,244856225792.0,MidCap
002960,Hankook Shell Oil Co. Ltd.,KOSDAQ,KQ,Energy,Oil & Gas Refining & Marketing,606450024448.0,MidCap
002990,Kumho Industrial Co. Ltd.,KOSDAQ,KQ,Industrials,Engineering & Construction,170482679808.0,SmallCap
002995,Kumho Industrial Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Industrials,Engineering & Construction,492343427072.0,MidCap
003000,Bukwang Pharm,KOSPI,KO,Healthcare,Drug Manufacturers - Specialty & Generic,720252108800.0,MidCap
003010,Hae In Corp.,KOSDAQ,KQ,Industrials,Industrial Distribution,54546866176.0,SmallCap
003030,SeAH Steel Corp.,KOSDAQ,KQ,Basic Materials,Steel,770111897600.0,MidCap
003060,Schnell Biopharmaceuticals Inc.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,58283974656.0,SmallCap
003070,Kolon Global Corp.,KOSDAQ,KQ,Industrials,Engineering & Construction,279960092672.0,MidCap
003075,Kolon Global Corp. Pfd. Series 1,KOSDAQ,KQ,Industrials,Engineering & Construction,413434773504.0,MidCap
003080,Sung Bo Chemicals Co. Ltd.,KOSDAQ,KQ,Basic Materials,Agricultural Inputs,51418554368.0,SmallCap
003090,Daewoong Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,952753586176.0,MidCap
003120,Ilsung Pharmaceutical Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,149944811520.0,SmallCap
003160,DI Corp.,KOSDAQ,KQ,Technology,Semiconductor Equipment & Materials,733672833024.0,MidCap
003200,Ilshin Spinning Co. Ltd.,KOSDAQ,KQ,Consumer Cyclical,Textile Manufacturing,239128231936.0,MidCap
003220,Daewon Pharmaceutical Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,218621083648.0,MidCap
003230,Sam Yang Foods,KOSPI,KO,Consumer Defensive,Packaged Foods,8949753446400.0,LargeCap
003240,Taekwang Ind,KOSPI,KO,Basic Materials,Chemicals,913169645568.0,MidCap
003280,Heung-A Shipping Co. Ltd.,KOSPI,KO,Industrials,Marine Shipping,956254126080.0,MidCap
003300,Hanil Cement Co. Ltd.,KOSDAQ,KQ,Basic Materials,Building Materials,516735008768.0,MidCap
003350,Hankook Cosmetics Manufacturing Co. Ltd.,KOSDAQ,KQ,Consumer Defensive,Household & Personal Products,158956552192.0,SmallCap
003460,Yuhwa Securities Co. Ltd.,KOSDAQ,KQ,Financial Services,Capital Markets,198271795200.0,SmallCap
003465,Yuhwa Securities Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Financial Services,Capital Markets,205855162368.0,MidCap
003470,Yuanta Securities Korea Co. Ltd.,KOSDAQ,KQ,Financial Services,Capital Markets,908272336896.0,MidCap
003475,Yuanta Securities Korea Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Financial Services,Capital Markets,900237099008.0,MidCap
003480,Hanjin Heavy Industries & Construction Holdings Co. Ltd.,KOSDAQ,KQ,Industrials,Engineering & Construction,118446350336.0,SmallCap
003490,Korean Air Lines Co. Ltd.,KOSDAQ,KQ,Industrials,Airlines,8697754419200.0,LargeCap
003495,Korean Air Lines Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Industrials,Airlines,8776130756608.0,LargeCap
003520,Yungjin Pharm. Co. Ltd.,KOSDAQ,KQ,Healthcare,Drug Manufacturers - Specialty & Generic,313843449856.0,MidCap
003530,Hanwha Investments & Securities Co. Ltd.,KOSDAQ,KQ,Financial Services,Capital Markets,1410362376192.0,LargeCap
003535,Hanwha Investments & Securities Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Financial Services,Capital Markets,1866682466304.0,LargeCap
003540,Daishin Securities Co. Ltd.,KOSDAQ,KQ,Financial Services,Capital Markets,2396657549312.0,LargeCap
003545,Daishin Securities Co. Ltd. Pfd. Series 1,KOSDAQ,KQ,Financial Services,Capital Markets,1971641122816.0,LargeCap
003547,Daishin Securities Co. Ltd. Pfd. Series 2,KOSDAQ,KQ,Financial Services,Capital Markets,1966973255680.0,LargeCap
003550,LG Corp.,KOSDAQ,KQ,Technology,Consumer Electronics,12768024461312.0,MegaCap
003555,LG Corp. Pfd. Series 1,KOSDAQ,KQ,Technology,Consumer Electronics,11322354827264.0,MegaCap
003570,SNT Dynamics Co Ltd,KOSPI,KO,Industrials,Aerospace & Defense,1141340766208.0,LargeCap
003580,HLB Global Co Ltd,KOSPI,KO,Industrials,Conglomerates,100017709056.0,SmallCap
