ticker,name,market,exchange,sector,industry,market_cap,cap
326030,SK바이오팜,KOSPI,KO,,,7972288850000.0,LargeCap
298380,에이비엘바이오,KOSDAQ,KQ,,,7950219746000.0,LargeCap
377300,카카오페이,KOSPI,KO,,,7654887772200.0,LargeCap
078930,GS,KOSPI,KO,,,7628352533800.0,LargeCap
161390,한국타이어앤테크놀로지,KOSPI,KO,,,7581154222800.0,LargeCap
180640,한진칼,KOSPI,KO,,,7564166210700.0,LargeCap
000100,유한양행,KOSPI,KO,,,7423156413200.0,LargeCap
052690,한전기술,KOSPI,KO,,,7387926000000.0,LargeCap
082740,한화엔진,KOSPI,KO,,,7318314353400.0,LargeCap
141080,리가켐바이오,KOSDAQ GLOBAL,KQ,,,7200276801000.0,LargeCap
241560,두산밥캣,KOSPI,KO,,,7141276842500.0,LargeCap
010060,OCI홀딩스,KOSPI,KO,,,6935991188000.0,LargeCap
032640,LG유플러스,KOSPI,KO,,,6898745097750.0,LargeCap
062040,산일전기,KOSPI,KO,,,6766102850000.0,LargeCap
000990,DB하이텍,KOSPI,KO,,,6638800128800.0,LargeCap
001040,CJ,KOSPI,KO,,,6637767045000.0,LargeCap
454910,두산로보틱스,KOSPI,KO,,,6624601956000.0,LargeCap
064400,LG씨엔에스,KOSPI,KO,,,6462292731600.0,LargeCap
039030,이오테크닉스,KOSDAQ GLOBAL,KQ,,,6356887800000.0,LargeCap
087010,펩트론,KOSDAQ,KQ,,,6295684500000.0,LargeCap
034220,LG디스플레이,KOSPI,KO,,,6215000000000.0,LargeCap
128940,한미약품,KOSPI,KO,,,6187708653000.0,LargeCap
021240,코웨이,KOSPI,KO,,,6185073032400.0,LargeCap
029780,삼성카드,KOSPI,KO,,,6140521223000.0,LargeCap
004020,현대제철,KOSPI,KO,,,6105144663750.0,LargeCap
005385,현대차우,KOSPI,KO,,,6056979120000.0,LargeCap
036570,NC,KOSPI,KO,,,5978466105000.0,LargeCap
240810,원익IPS,KOSDAQ GLOBAL,KQ,,,5929335240800.0,LargeCap
450080,에코프로머티,KOSPI,KO,,,5905767709800.0,LargeCap
138930,BNK금융지주,KOSPI,KO,,,5852767842380.0,LargeCap
036930,주성엔지니어링,KOSDAQ GLOBAL,KQ,,,5851973133900.0,LargeCap
271560,오리온,KOSPI,KO,,,5772275272000.0,LargeCap
103590,일진전기,KOSPI,KO,,,5703172644000.0,LargeCap
353200,대덕전자,KOSPI,KO,,,5702713145000.0,LargeCap
214370,케어젠,KOSDAQ,KQ,,,5693790000000.0,LargeCap
022100,포스코DX,KOSPI,KO,,,5526462399150.0,LargeCap
310210,보로노이,KOSDAQ,KQ,,,5447042616000.0,LargeCap
088980,맥쿼리인프라,KOSPI,KO,,,5445343060410.0,LargeCap
095340,ISC,KOSDAQ GLOBAL,KQ,,,5172082152000.0,LargeCap
002380,KCC,KOSPI,KO,,,5118607296000.0,LargeCap
175330,JB금융지주,KOSPI,KO,,,5101672126400.0,LargeCap
011170,롯데케미칼,KOSPI,KO,,,5047499442000.0,LargeCap
108490,로보티즈,KOSDAQ,KQ,,,4814833698000.0,LargeCap
011790,SKC,KOSPI,KO,,,4657800654000.0,LargeCap
018880,한온시스템,KOSPI,KO,,,4469373413960.0,LargeCap
088350,한화생명,KOSPI,KO,,,4412132400000.0,LargeCap
403870,HPSP,KOSDAQ GLOBAL,KQ,,,4394820000000.0,LargeCap
251270,넷마블,KOSPI,KO,,,4204567032300.0,LargeCap
489790,한화비전,KOSPI,KO,,,4124901463000.0,LargeCap
440110,파두,KOSDAQ,KQ,,,4081144040500.0,LargeCap
375500,DL이앤씨,KOSPI,KO,,,3911925285300.0,LargeCap
051900,LG생활건강,KOSPI,KO,,,3894475815500.0,LargeCap
017800,현대엘리베이터,KOSPI,KO,,,3870146115000.0,LargeCap
263750,펄어비스,KOSDAQ GLOBAL,KQ,,,3848446514500.0,LargeCap
004170,신세계,KOSPI,KO,,,3839466076500.0,LargeCap
336260,두산퓨얼셀,KOSPI,KO,,,3837932343600.0,LargeCap
032820,우리기술,KOSDAQ,KQ,,,3815447088600.0,LargeCap
457190,이수스페셜티케미컬,KOSPI,KO,,,3804555984800.0,LargeCap
023530,롯데쇼핑,KOSPI,KO,,,3799179796500.0,LargeCap
011780,금호석유화학,KOSPI,KO,,,3778630215000.0,LargeCap
004800,효성,KOSPI,KO,,,3758221371500.0,LargeCap
214150,클래시스,KOSDAQ GLOBAL,KQ,,,3751050392500.0,LargeCap
226950,올릭스,KOSDAQ,KQ,,,3747487621800.0,LargeCap
111770,영원무역,KOSPI,KO,,,3731025605600.0,LargeCap
357780,솔브레인,KOSDAQ GLOBAL,KQ,,,3725933114000.0,LargeCap
071970,HD현대마린엔진,KOSPI,KO,,,3721188001500.0,LargeCap
035250,강원랜드,KOSPI,KO,,,3679776600000.0,LargeCap
097950,CJ제일제당,KOSPI,KO,,,3665694291000.0,LargeCap
012510,더존비즈온,KOSPI,KO,,,3647378400000.0,LargeCap
036460,한국가스공사,KOSPI,KO,,,3618669600000.0,LargeCap
000500,가온전선,KOSPI,KO,,,3589855955000.0,LargeCap
020150,롯데에너지머티리얼즈,KOSPI,KO,,,3576561122900.0,LargeCap
006360,GS건설,KOSPI,KO,,,3568748133000.0,LargeCap
319400,현대무벡스,KOSDAQ,KQ,,,3541758040200.0,LargeCap
064760,티씨케이,KOSDAQ GLOBAL,KQ,,,3532695456000.0,LargeCap
439260,대한조선,KOSPI,KO,,,3475073342400.0,LargeCap
302440,SK바이오사이언스,KOSPI,KO,,,3424628538450.0,LargeCap
237690,에스티팜,KOSDAQ GLOBAL,KQ,,,3405897671800.0,LargeCap
347850,디앤디파마텍,KOSDAQ,KQ,,,3394821392500.0,LargeCap
178320,서진시스템,KOSDAQ,KQ,,,3372631044300.0,LargeCap
031210,서울보증보험,KOSPI,KO,,,3358418863800.0,LargeCap
014680,한솔케미칼,KOSPI,KO,,,3354207525000.0,LargeCap
214450,파마리서치,KOSDAQ GLOBAL,KQ,,,3345466656000.0,LargeCap
222800,심텍,KOSDAQ GLOBAL,KQ,,,3334660067400.0,LargeCap
001720,신영증권,KOSPI,KO,,,3304440000000.0,LargeCap
012750,에스원,KOSPI,KO,,,3290728814800.0,LargeCap
145020,휴젤,KOSDAQ GLOBAL,KQ,,,3235960679000.0,LargeCap
084370,유진테크,KOSDAQ,KQ,,,3208245880000.0,LargeCap
004990,롯데지주,KOSPI,KO,,,3119476188800.0,LargeCap
043260,성호전자,KOSDAQ,KQ,,,3106419647400.0,LargeCap
083650,비에이치아이,KOSDAQ,KQ,,,3091343062500.0,LargeCap
005850,에스엘,KOSPI,KO,,,3088826580000.0,LargeCap
112610,씨에스윈드,KOSPI,KO,,,3057426717500.0,LargeCap
139130,iM금융지주,KOSPI,KO,,,3051867077000.0,LargeCap
100790,미래에셋벤처투자,KOSDAQ,KQ,,,3028104138000.0,LargeCap
120110,코오롱인더,KOSPI,KO,,,3021554628800.0,LargeCap
005290,동진쎄미켐,KOSDAQ,KQ,,,3002606449600.0,LargeCap
139480,이마트,KOSPI,KO,,,2983108033900.0,LargeCap
028670,팬오션,KOSPI,KO,,,2966860791600.0,LargeCap
483650,달바글로벌,KOSPI,KO,,,2955889102500.0,LargeCap
140410,메지온,KOSDAQ,KQ,,,2917648032000.0,LargeCap
058610,에스피지,KOSDAQ,KQ,,,2885274536000.0,LargeCap
098460,고영,KOSDAQ,KQ,,,2880066972250.0,LargeCap
009970,영원무역홀딩스,KOSPI,KO,,,2861838244000.0,LargeCap
103140,풍산,KOSPI,KO,,,2858476356000.0,LargeCap
051600,한전KPS,KOSPI,KO,,,2853000000000.0,LargeCap
031980,피에스케이홀딩스,KOSDAQ,KQ,,,2811736308000.0,LargeCap
229640,LS에코에너지,KOSPI,KO,,,2783801501100.0,LargeCap
257720,실리콘투,KOSDAQ,KQ,,,2752735860000.0,LargeCap
097230,HJ중공업,KOSPI,KO,,,2749493224800.0,LargeCap
204320,HL만도,KOSPI,KO,,,2718817248000.0,LargeCap
319660,피에스케이,KOSDAQ GLOBAL,KQ,,,2702594416200.0,LargeCap
001450,현대해상,KOSPI,KO,,,2681057462500.0,LargeCap
077970,STX엔진,KOSPI,KO,,,2669846189500.0,LargeCap
067310,하나마이크론,KOSDAQ,KQ,,,2668538673900.0,LargeCap
030530,원익홀딩스,KOSDAQ,KQ,,,2664710344500.0,LargeCap
008770,호텔신라,KOSPI,KO,,,2657097791700.0,LargeCap
026960,동서,KOSPI,KO,,,2647035000000.0,LargeCap
017960,한국카본,KOSPI,KO,,,2634841440000.0,LargeCap
018670,SK가스,KOSPI,KO,,,2633685918000.0,LargeCap
001430,세아베스틸지주,KOSPI,KO,,,2621520898900.0,LargeCap
323280,태성,KOSDAQ,KQ,,,2617104886000.0,LargeCap
008930,한미사이언스,KOSPI,KO,,,2598878900000.0,LargeCap
383220,F&F,KOSPI,KO,,,2589558270000.0,LargeCap
078600,대주전자재료,KOSDAQ,KQ,,,2586985625000.0,LargeCap
009420,한올바이오파마,KOSPI,KO,,,2585911581000.0,LargeCap
068760,셀트리온제약,KOSDAQ,KQ,,,2562014556400.0,LargeCap
131970,두산테스나,KOSDAQ GLOBAL,KQ,,,2549262692200.0,LargeCap
279570,케이뱅크,KOSPI,KO,,,2547765548280.0,LargeCap
069960,현대백화점,KOSPI,KO,,,2532164174700.0,LargeCap
192820,코스맥스,KOSPI,KO,,,2519590998000.0,LargeCap
000155,두산우,KOSPI,KO,,,2513774598000.0,LargeCap
476830,알지노믹스,KOSDAQ,KQ,,,2508091560000.0,LargeCap
007340,DN오토모티브,KOSPI,KO,,,2504265022000.0,LargeCap
082920,비츠로셀,KOSDAQ,KQ,,,2489137287300.0,LargeCap
218410,RFHIC,KOSDAQ,KQ,,,2432295287200.0,LargeCap
322000,HD현대에너지솔루션,KOSPI,KO,,,2413600000000.0,LargeCap
000240,한국앤컴퍼니,KOSPI,KO,,,2387621286000.0,LargeCap
011210,현대위아,KOSPI,KO,,,2344216154600.0,LargeCap
010170,대한광통신,KOSDAQ,KQ,,,2343168896200.0,LargeCap
004370,농심,KOSPI,KO,,,2341817170000.0,LargeCap
005440,현대지에프홀딩스,KOSPI,KO,,,2327651213930.0,LargeCap
000120,CJ대한통운,KOSPI,KO,,,2322296619200.0,LargeCap
298020,효성티앤씨,KOSPI,KO,,,2306654506000.0,LargeCap
282330,BGF리테일,KOSPI,KO,,,2298759498000.0,LargeCap
035900,JYP Ent.,KOSDAQ GLOBAL,KQ,,,2291845734000.0,LargeCap
007810,코리아써키트,KOSPI,KO,,,2287941948000.0,LargeCap
030000,제일기획,KOSPI,KO,,,2277816255000.0,LargeCap
085620,미래에셋생명,KOSPI,KO,,,2257506000000.0,LargeCap
361610,SK아이이테크놀로지,KOSPI,KO,,,2232787830000.0,LargeCap
041510,에스엠,KOSDAQ GLOBAL,KQ,,,2232232275000.0,LargeCap
003690,코리안리,KOSPI,KO,,,2216081728740.0,LargeCap
089030,테크윙,KOSDAQ,KQ,,,2200986513000.0,LargeCap
002790,아모레퍼시픽홀딩스,KOSPI,KO,,,2198172675000.0,LargeCap
081660,미스토홀딩스,KOSPI,KO,,,2198002176000.0,LargeCap
001120,LX인터내셔널,KOSPI,KO,,,2197692000000.0,LargeCap
101490,에스앤에스텍,KOSDAQ,KQ,,,2167623706400.0,LargeCap
417200,LS머트리얼즈,KOSDAQ,KQ,,,2114145593750.0,LargeCap
161890,한국콜마,KOSPI,KO,,,2112654391500.0,LargeCap
023590,다우기술,KOSPI,KO,,,2047489857600.0,LargeCap
039200,오스코텍,KOSDAQ,KQ,,,2046812416000.0,LargeCap
347700,스피어,KOSDAQ,KQ,,,2033623468800.0,LargeCap
005070,코스모신소재,KOSPI,KO,,,2029410288100.0,LargeCap
462870,시프트업,KOSPI,KO,,,2014776579000.0,LargeCap
475150,SK이터닉스,KOSPI,KO,,,2009953236000.0,LargeCap
027360,아주IB투자,KOSDAQ,KQ,,,2008590831480.0,LargeCap
140860,파크시스템스,KOSDAQ GLOBAL,KQ,,,2008298859000.0,LargeCap
395400,SK리츠,KOSPI,KO,,,1977685763400.0,LargeCap
060370,LS마린솔루션,KOSDAQ,KQ,,,1974628681200.0,LargeCap
007070,GS리테일,KOSPI,KO,,,1968954623250.0,LargeCap
099320,쎄트렉아이,KOSDAQ,KQ,,,1956993378600.0,LargeCap
003570,SNT다이내믹스,KOSPI,KO,,,1935306965400.0,LargeCap
475830,오름테라퓨틱,KOSDAQ,KQ,,,1925442587500.0,LargeCap
003540,대신증권,KOSPI,KO,,,1899882851800.0,LargeCap
131290,티에스이,KOSDAQ,KQ,,,1867169215200.0,LargeCap
232140,와이씨,KOSDAQ,KQ,,,1866531712500.0,LargeCap
458870,씨어스,KOSDAQ,KQ,,,1864927260000.0,LargeCap
080220,제주반도체,KOSDAQ,KQ,,,1846135848800.0,LargeCap
004000,롯데정밀화학,KOSPI,KO,,,1836960000000.0,LargeCap
038500,삼표시멘트,KOSDAQ,KQ,,,1823785571400.0,LargeCap
491000,리브스메드,KOSDAQ,KQ,,,1809120847500.0,LargeCap
437730,삼현,KOSDAQ,KQ,,,1756599211800.0,LargeCap
073240,금호타이어,KOSPI,KO,,,1746542544960.0,LargeCap
445680,큐리옥스바이오시스템즈,KOSDAQ,KQ,,,1746130382500.0,LargeCap
290650,엘앤씨바이오,KOSDAQ,KQ,,,1736809703700.0,LargeCap
069620,대웅제약,KOSPI,KO,,,1733351620000.0,LargeCap
012630,HDC,KOSPI,KO,,,1720561564800.0,LargeCap
032350,롯데관광개발,KOSPI,KO,,,1703471543600.0,LargeCap
006040,동원산업,KOSPI,KO,,,1695282662400.0,LargeCap
